,model_name,reduction_method,basis_finding,reduction_rate,test_acc,timestamp,data,duration
0,MNIST3x100,bisimulation,none,0.91,0.2621,2023-01-24-10-46-45-492973,MNIST,2.5312682749936357
1,MNIST3x100,bisimulation,none,0.8200000000000001,0.3577,2023-01-24-10-46-49-707793,MNIST,3.3541749819996767
2,MNIST3x100,bisimulation,none,0.73,0.6132,2023-01-24-10-46-55-474965,MNIST,4.927373279992025
3,MNIST3x100,bisimulation,none,0.64,0.6724,2023-01-24-10-47-00-757498,MNIST,4.370660857006442
4,MNIST3x100,bisimulation,none,0.55,0.8039,2023-01-24-10-47-05-910718,MNIST,4.187246699002571
5,MNIST3x100,bisimulation,none,0.45999999999999996,0.8576,2023-01-24-10-47-12-390188,MNIST,5.451512344006915
6,MNIST3x100,bisimulation,none,0.37,0.9059,2023-01-24-10-47-20-541623,MNIST,7.157210363977356
7,MNIST3x100,bisimulation,none,0.28,0.9494,2023-01-24-10-47-29-631523,MNIST,7.579348483996
8,MNIST3x100,bisimulation,none,0.18999999999999995,0.9635,2023-01-24-10-47-40-506596,MNIST,9.185695936001139
9,MNIST3x100,bisimulation,none,0.09999999999999998,0.9733,2023-01-24-10-47-52-571093,MNIST,10.342945123993559
