,model_name,reduction_method,basis_finding,coeff_finding,reduction_rate,test_acc,timestamp,data,duration
0,MNIST3x100,bisimulation,greedy,l1,0.91,0.2397,2023-01-24-11-02-56-943884,MNIST,19.13675079398672
1,MNIST3x100,bisimulation,greedy,l1,0.8200000000000001,0.6196,2023-01-24-11-03-20-534047,MNIST,22.850201716995798
2,MNIST3x100,bisimulation,greedy,l1,0.73,0.7648,2023-01-24-11-03-57-229016,MNIST,35.25329110698658
3,MNIST3x100,bisimulation,greedy,l1,0.64,0.8584,2023-01-24-11-04-43-742956,MNIST,45.23551311099436
4,MNIST3x100,bisimulation,greedy,l1,0.55,0.9369,2023-01-24-11-05-33-185560,MNIST,48.06694481198792
5,MNIST3x100,bisimulation,greedy,l1,0.45999999999999996,0.9409,2023-01-24-11-06-23-350768,MNIST,48.838708277995465
6,MNIST3x100,bisimulation,greedy,l1,0.37,0.9564,2023-01-24-11-07-05-183163,MNIST,40.94318333599949
7,MNIST3x100,bisimulation,greedy,l1,0.28,0.9624,2023-01-24-11-07-35-344609,MNIST,29.381331609998597
8,MNIST3x100,bisimulation,greedy,l1,0.18999999999999995,0.9703,2023-01-24-11-08-02-327985,MNIST,26.026686185010476
9,MNIST3x100,bisimulation,greedy,l1,0.09999999999999998,0.976,2023-01-24-11-08-26-881425,MNIST,23.374544457008597
