,model_name,reduction_method,basis_finding,coeff_finding,reduction_rate,test_acc,timestamp,data,duration
0,MNIST3x100,bisimulation,greedy,l2,0.91,0.4608,2023-01-24-10-58-38-633975,MNIST,2.6506858810025733
1,MNIST3x100,bisimulation,greedy,l2,0.8200000000000001,0.7278,2023-01-24-10-58-56-452428,MNIST,16.151190154982032
2,MNIST3x100,bisimulation,greedy,l2,0.73,0.8563,2023-01-24-10-59-13-670682,MNIST,15.568094239017228
3,MNIST3x100,bisimulation,greedy,l2,0.64,0.9167,2023-01-24-10-59-31-889780,MNIST,16.676208699005656
4,MNIST3x100,bisimulation,greedy,l2,0.55,0.9416,2023-01-24-10-59-57-770035,MNIST,24.313367438997375
5,MNIST3x100,bisimulation,greedy,l2,0.45999999999999996,0.9537,2023-01-24-11-00-32-215823,MNIST,32.77658686399809
6,MNIST3x100,bisimulation,greedy,l2,0.37,0.965,2023-01-24-11-01-07-285596,MNIST,33.47838252602378
7,MNIST3x100,bisimulation,greedy,l2,0.28,0.9681,2023-01-24-11-01-28-243626,MNIST,20.040060480008833
8,MNIST3x100,bisimulation,greedy,l2,0.18999999999999995,0.9715,2023-01-24-11-01-51-122157,MNIST,21.908193514012964
9,MNIST3x100,bisimulation,greedy,l2,0.09999999999999998,0.9766,2023-01-24-11-02-15-238393,MNIST,23.05268427100964
