,model_name,reduction_method,basis_finding,coeff_finding,reduction_rate,test_acc,timestamp,data,duration
0,MNIST3x100,bisimulation,variance,l1,0.91,0.243,2023-01-24-11-08-48-503243,MNIST,20.32978680098313
1,MNIST3x100,bisimulation,variance,l1,0.8200000000000001,0.5079,2023-01-24-11-09-14-643727,MNIST,24.880625346995657
2,MNIST3x100,bisimulation,variance,l1,0.73,0.6918,2023-01-24-11-09-41-827213,MNIST,25.882316578994505
3,MNIST3x100,bisimulation,variance,l1,0.64,0.8661,2023-01-24-11-10-09-940152,MNIST,26.653889570996398
4,MNIST3x100,bisimulation,variance,l1,0.55,0.9212,2023-01-24-11-10-36-704224,MNIST,25.4070470489969
5,MNIST3x100,bisimulation,variance,l1,0.45999999999999996,0.9455,2023-01-24-11-11-01-880199,MNIST,23.842802703002235
6,MNIST3x100,bisimulation,variance,l1,0.37,0.954,2023-01-24-11-11-22-877290,MNIST,19.5521923659835
7,MNIST3x100,bisimulation,variance,l1,0.28,0.9661,2023-01-24-11-11-40-303321,MNIST,15.96381224002107
8,MNIST3x100,bisimulation,variance,l1,0.18999999999999995,0.9687,2023-01-24-11-11-51-879210,MNIST,10.072394979011733
9,MNIST3x100,bisimulation,variance,l1,0.09999999999999998,0.9749,2023-01-24-11-11-58-558734,MNIST,5.33583137000096
