,model_name,reduction_method,basis_finding,coeff_finding,reduction_rate,test_acc,timestamp,data,duration
0,MNIST3x100,bisimulation,variance,l2,0.91,0.3741,2023-01-24-11-02-17-463934,MNIST,1.2298054069979116
1,MNIST3x100,bisimulation,variance,l2,0.8200000000000001,0.6606,2023-01-24-11-02-19-659547,MNIST,1.1319968400057405
2,MNIST3x100,bisimulation,variance,l2,0.73,0.832,2023-01-24-11-02-21-870879,MNIST,1.2154036419815384
3,MNIST3x100,bisimulation,variance,l2,0.64,0.9012,2023-01-24-11-02-24-050710,MNIST,1.1878479899896774
4,MNIST3x100,bisimulation,variance,l2,0.55,0.9338,2023-01-24-11-02-26-241622,MNIST,1.2484010820044205
5,MNIST3x100,bisimulation,variance,l2,0.45999999999999996,0.9539,2023-01-24-11-02-28-420721,MNIST,1.2031448429916054
6,MNIST3x100,bisimulation,variance,l2,0.37,0.9635,2023-01-24-11-02-30-557116,MNIST,1.2048548999882769
7,MNIST3x100,bisimulation,variance,l2,0.28,0.9677,2023-01-24-11-02-32-723387,MNIST,1.1789459559950046
8,MNIST3x100,bisimulation,variance,l2,0.18999999999999995,0.9726,2023-01-24-11-02-34-836499,MNIST,1.1584859940048773
9,MNIST3x100,bisimulation,variance,l2,0.09999999999999998,0.9757,2023-01-24-11-02-37-021070,MNIST,1.199693018977996
