,reduction_rate,accuracy,duration
0,0.94,0.364,1.154531595000094
1,0.88,0.5579,1.7410386939999398
2,0.8200000000000001,0.7521,2.355941029000064
3,0.75,0.8545,3.3595109809999713
4,0.69,0.8795,3.9812809469999593
5,0.63,0.9199,4.736386193000044
6,0.5700000000000001,0.9381,5.62848016199996
7,0.5,0.9493,6.490531459999943
8,0.43999999999999995,0.9601,7.085164125000006
9,0.38,0.9645,7.785258551999959
10,0.31999999999999995,0.9682,8.016139854000016
11,0.25,0.9687,8.946821615999966
12,0.18999999999999995,0.9733,9.889091716000053
13,0.13,0.976,9.844058330999928
14,0.06999999999999995,0.9768,10.398395627000014
