,network,image_idx,target_cls,delta,rr,linna_time (seconds),linna_timeout,linna_is_real_cex,linna_cex,linna_result,linna_error
0,MNIST_3x100,0,5,0.02,0.2,2.1121823900029995,False,,,unsat,False
1,MNIST_3x100,0,5,0.05,0.2,0.9739479510026285,False,False,"[-0.05, 0.05, 0.05, 0.05, 0.05, 0.05, -0.05, -0.05, 0.05, -0.05, -0.05, 0.05, 0.05, -0.05, 0.05, -0.05, 0.05, -0.05, 0.05, -0.05, -0.05, -0.05, -0.05, 0.05, -0.05, -0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, -0.05, -0.05, 0.05, 0.05, 0.05, 0.05, 0.05, -0.05, 0.05, 0.05, 0.05, 0.05, -0.05, -0.05, 0.05, -0.05, 0.05, -0.05, 0.05, 0.05, -0.05, -0.05, -0.05, 0.05, 0.05, 0.05, -0.05, 0.05, 0.05, 0.05, -0.05, 0.05, -0.05, 0.05, 0.05, 0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 0.05, 0.05, -0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, -0.05, -0.05, 0.05, 0.05, 0.05, -0.05, 0.05, -0.05, 0.05, 0.05, 0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 0.05, -0.05, -0.05, -0.05, 0.05, 0.05, 0.05, 0.05, 0.05, -0.05, 0.05, 0.05, -0.05, 0.05, 0.05, -0.05, -0.05, -0.05, -0.05, 0.05, -0.05, -0.05, -0.05, -0.05, 0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 0.05, -0.05, 0.05, -0.05, -0.05, 0.05, 0.05, 0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.0382352938875556, 0.02058823853731155, 0.058066423246708354, 0.02058823853731155, 0.5441176474094391, 0.48333336114883424, 0.6362745285034179, 0.051960785686969754, 0.6009804129600524, 0.95, 1.0186274528503418, 0.4480392158031464, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, -0.05, -0.05, -0.05, 0.06764705926179886, 0.0911764770746231, 0.3186274588108063, 0.5539215922355651, 0.7166666865348816, 0.9421568632125854, 0.9421568632125854, 0.9421568632125854, 0.9421568632125854, 0.9421568632125854, 0.9323529481887818, 0.6245098233222961, 1.0421568632125855, 0.8990196108818054, 0.7147058963775634, 0.20098040699958802, -0.05, 0.05, 0.05, -0.05, -0.05, -0.05, -0.05, 0.05, 0.05, -0.05, -0.05, 0.24215686619281768, 0.8833333373069763, 0.9421568632125854, 0.9421568632125854, 0.9421568632125854, 1.0421568632125855, 0.9421568632125854, 0.9421568632125854, 1.0421568632125855, 0.9421568632125854, 0.9343137264251709, 0.314705890417099, 0.37156863808631896, 0.37156863808631896, 0.2696078449487686, 0.10294118225574493, -0.05, -0.05, -0.05, -0.05, -0.05, 0.05, -0.05, -0.05, -0.05, 0.05, -0.05, -0.05, 0.02058823853731155, 0.808823537826538, 0.9421568632125854, 1.0421568632125855, 0.9421568632125854, 1.0421568632125855, 1.0421568632125855, 0.8264706015586853, 0.7637255072593689, 0.9186274528503418, 0.8950980424880981, -0.05, -0.05, 0.05, 0.05, 0.05, 0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 0.05, 0.05, 0.05, -0.05, -0.05, -0.05, -0.05, 0.26372550129890443, 0.6617647290229798, 0.46960784792900084, 0.9421568632125854, 1.0421568632125855, 0.8539215803146363, -0.006862743943929675, -0.05, 0.21862745583057402, 0.5539215922355651, 0.05, 0.05, 0.05, -0.05, 0.05, 0.05, -0.05, -0.05, 0.05, -0.05, 0.05, 0.05, -0.05, -0.05, -0.05, -0.05, 0.05, -0.05, 0.05, 0.004901961237192151, 0.053921568859368565, 0.6539215922355652, 1.0421568632125855, 0.40294118523597716, 0.05, 0.05, 0.05, -0.05, -0.05, 0.05, -0.05, -0.05, 0.05, 0.05, -0.05, -0.05, -0.05, -0.05, 0.05, 0.05, 0.05, -0.05, -0.05, 0.05, 0.05, -0.05, 0.05, 0.05, 0.05, 0.49509806632995607, 1.0421568632125855, 0.7950980544090271, -0.04215686228126288, -0.05, -0.05, -0.05, -0.05, -0.05, 0.05, -0.05, 0.05, 0.05, 0.05, 0.05, -0.05, -0.05, -0.05, 0.05, -0.05, -0.05, 0.05, -0.05, -0.05, -0.05, 0.05, 0.05, -0.05, -0.006862743943929675, 0.7950980544090271, 1.0421568632125855, 0.32450981736183165, 0.05, -0.05, 0.05, -0.05, 0.05, 0.05, 0.05, -0.05, -0.05, 0.05, 0.05, -0.05, 0.05, 0.05, 0.05, 0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 0.08725490868091583, 0.8950980424880981, 0.9323529481887818, 0.6774510025978089, 0.4735294163227081, 0.053921568859368565, 0.05, 0.05, 0.05, 0.05, -0.05, 0.05, -0.05, 0.05, -0.05, -0.05, 0.05, 0.05, 0.05, 0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 0.3676470696926117, 0.9911764740943909, 0.9421568632125854, 1.0421568632125855, 0.5166666686534882, 0.04803921729326248, -0.05, 0.05, -0.05, -0.05, -0.05, -0.05, 0.05, 0.05, -0.05, 0.05, 0.05, -0.05, 0.05, -0.05, -0.05, -0.05, 0.05, 0.05, 0.05, -0.05, -0.05, -0.05, 0.05, 0.22647059261798858, 0.779411780834198, 0.9421568632125854, 0.9421568632125854, 0.6382353186607361, 0.05588235408067703, 0.05, -0.05, -0.05, -0.05, -0.05, 0.05, -0.05, -0.05, -0.05, 0.05, -0.05, -0.05, -0.05, -0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, -0.05, 0.05, 0.05, 0.112745101749897, 0.414705890417099, 1.0382352948188782, 0.9421568632125854, 0.6833333492279052, -0.05, -0.05, -0.05, -0.05, -0.05, 0.05, -0.05, -0.05, 0.05, -0.05, 0.05, -0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 1.0264705896377564, 0.9421568632125854, 0.9264705896377563, 0.20098040699958802, -0.05, -0.05, 0.05, 0.05, 0.05, 0.05, -0.05, 0.05, 0.05, -0.05, -0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.23039216101169585, 0.5598039507865906, 0.7676470756530762, 1.0421568632125855, 0.9421568632125854, 0.7617647171020507, -0.04215686228126288, -0.05, -0.05, 0.05, 0.05, 0.05, 0.05, 0.05, -0.05, 0.05, -0.05, -0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.20294118225574492, 0.6303921818733216, 0.9480392217636109, 0.9421568632125854, 0.9421568632125854, 0.9421568632125854, 0.9303921580314636, 0.6637255072593689, -0.05, -0.05, -0.05, 0.05, 0.05, -0.05, 0.05, 0.05, -0.05, -0.04881111989738476, 0.05, -0.05, 0.05, 0.05, 0.05, -0.05, -0.05, -0.05, 0.1441176488995552, 0.3970588266849518, 0.9166666746139527, 0.9421568632125854, 0.9421568632125854, 1.0421568632125855, 1.0421568632125855, 0.7382353067398071, 0.2558823645114899, -0.05, -0.05, -0.05, -0.05, 0.05, 0.05, 0.05, 0.05, -0.05, -0.05, -0.05, 0.05, -0.05, -0.05, -0.05, 0.05, -0.05, 0.04019608050584793, 0.20882354378700257, 0.7852941274642944, 0.9421568632125854, 0.9421568632125854, 0.9421568632125854, 0.9421568632125854, 0.7264706015586853, 0.2676470696926117, 0.05784313771873713, 0.05, 0.05, -0.05, -0.05, -0.05, -0.05, 0.05, 0.05, -0.05, -0.05, 0.05, 0.05, -0.05, -0.05, -0.05, -0.05, 0.02058823853731155, 0.7205882549285889, 0.9088235378265381, 0.9421568632125854, 0.9421568632125854, 0.9421568632125854, 0.9421568632125854, 0.7147058963775634, 0.3637255012989044, -0.014705880731344226, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 0.05, 0.05, 0.05, -0.05, -0.05, 0.05, -0.05, 0.05, -0.05, 0.16568627655506135, 0.6245098233222961, 0.9362745165824891, 0.9421568632125854, 0.9421568632125854, 0.9421568632125854, 0.9421568632125854, 0.9068627476692199, 0.4715686559677124, -0.006862743943929675, -0.05, -0.05, -0.05, 0.019175932066521854, -0.05, -0.05, -0.05, -0.05, -0.05, -0.05, 0.05, -0.05, -0.05, -0.05, 0.05, 0.05, -0.05, -0.05, 0.48333336114883424, 0.9421568632125854, 0.9421568632125854, 0.9421568632125854, 0.7813725590705871, 0.47941179275512696, 0.46764708757400514, 0.012745101749897, -0.05, 0.05, -0.05, -0.05, 0.05, -0.05, -0.05, -0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, -0.05, 0.05, -0.05, 0.05, -0.00715434892354949, -0.05, -0.05, -0.05, 0.05, -0.05, -0.05, -0.05, -0.05, 0.05, -0.05, -0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, -0.05, 0.05, 0.05, -0.05, -0.05, -0.05, 0.05, 0.05, -0.05, -0.05, -0.05, 0.05, 0.05, 0.05, 0.05, 0.05, -0.05, -0.05, -0.05, -0.05, 0.05, -0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, -0.05, -0.05, 0.05, -0.05, 0.05, 0.0023893217066634424, 0.05, 0.05, 0.05, -0.05, -0.05, 0.05, 0.05, 0.05, 0.05, -0.05, 0.05, 0.05, -0.05, 0.05, -0.05, 0.05, 0.05, 0.05, 0.05, 0.05, -0.05, -0.05, 0.05, -0.05, 0.05, -0.05, -0.05]",sat,False
2,MNIST_3x100,0,5,0.02,0.5,2.0731355930001882,False,,,unsat,False
3,MNIST_3x100,0,5,0.05,0.5,241.9438573209991,True,,,timeout,False
4,MNIST_3x100,0,5,0.02,0.8,2.837929550001718,False,,,unsat,False
5,MNIST_3x100,0,5,0.05,0.8,242.12167856799715,True,,,timeout,False
6,MNIST_3x100,1,0,0.02,0.2,1.3778896410003654,False,,,unsat,False
7,MNIST_3x100,1,0,0.05,0.2,241.85144233299798,True,,,timeout,False
8,MNIST_3x100,1,0,0.02,0.5,2.019244234001235,False,,,unsat,False
9,MNIST_3x100,1,0,0.05,0.5,241.96020981900074,True,,,timeout,False
